"PK_PLAYER_ID","FIRSTNAME","LASTNAME","BIRTHDATE","COSTS","STATS","SKILL","POSITION","FK_PLAYERCLUB_ID","FK_PLAYERCOUNTRY_ID"
103,"Zlatan","Ibrahimovic",1981-10-03,1700000,2297,"FOUR","ST",60,"SW"
104,"Robert","Lewandowski",1988-08-21,2000000,2269,"THREE","ST",150,"PL"
105,"Franck","Ribery",1983-04-07,23000,1936,"FIVE","LM",150,"FR"
106,"Douglas","Costa",1990-09-14,21000,2049,"FIVE","LM",150,"BR"
107,"Sergio","Ramos",1986-03-30,340000,2345,"THREE","CB",90,"SP"
108,"Arjen","Robben",1984-01-23,1200000,2228,"FOUR","RM",150,"NL"
109,"Andres","Iniesta",1984-09-11,1200000,2303,"FOUR","CM",80,"SP"
110,"Gonzalo","Higuain",1987-12-10,150000,2189,"THREE","ST",110,"AR"
111,"Paul","Pogba",1983-03-15,2000000,2293,"FIVE","CDM",60,"FR"
112,"Angel","Di Maria",1988-02-14,850000,2245,"FIVE","RW",170,"AR"
113,"Jerome","Boateng",1988-09-03,350000,1970,"TWO","CB",150,"DE"
101,"Cristiano","Ronaldo",1985-02-05,7900000,2399,"FIVE","ST",90,"PR"
102,"Lionel","Messi",1987-06-24,7100000,2391,"FOUR","RW",80,"AR"
